,title,genre
538,Bugs Bunny Theme (This Is It!),Musical/Film
539,Building Tension In 2 Dimensions,Dance/Electronica
540,Built For Comfort,Blues
541,Bullet In The Head,Rock/Pop
542,Bumble Bee Blues,Blues
543,Bumpin',Jazz
544,Bungalow In Quogue,Musical/Film
545,Burn,Folk/Roots
546,Burn In Hell,Blues
547,Burning Down The House,Rock/Pop
548,Busa Rhyme,Hip-Hop
549,"Bushel And A Peck, A",Musical/Film
550,Bust A Move,Hip-Hop
551,Busy Child,Dance/Electronica
552,But Beautiful,Jazz
553,But Not For Me,Jazz
554,Button Up Your Overcoat,Jazz
555,Buttons And Bows,Country/Bluegrass
556,Buy Out The Bar,Reggae
557,By The Light Of The Silvery Moon,Musical/Film
558,By The Time I Get To Phoenix,Country/Bluegrass
559,Bye Bye,R & B/Soul
560,Bye Bye Blackbird,Jazz
561,Bye Bye Blues,Jazz
562,Bye Bye Love,Rock/Pop
563,,
564,C.R.E.A.M.,Hip-Hop
565,Cabaret,Musical/Film
566,Cabin In The Sky,Jazz
567,Caldonia (What Makes Your Big Head So Hard?),Jazz
568,California,Rock/Pop
569,California Dreaming,Rock/Pop
570,California Girls,Rock/Pop
571,California Love,Hip-Hop
572,California Uber Alles,Rock/Pop
573,"California, Here I Come",Musical/Film
574,Californication,Rock/Pop
575,Call Any Vegetable,Rock/Pop
576,Call Me,Dance/Electronica
577,Call Me (Come Back Home),R & B/Soul
578,Call Me Irresponsible,Jazz
579,Calling All Angels,Folk/Roots
580,Calling You,Gospel
581,Calling You,Jazz
582,Calypso,Jazz
583,Camarillo Brillo,Rock/Pop
584,Came So Far For Beauty,Rock/Pop
585,Camelot,Musical/Film
586,Can You Feel It,Dance/Electronica
587,Can Your Pussy Do The Dog?,Rock/Pop
588,Canadian Railroad Trilogy,Folk/Roots
589,Canadian Sunset,Jazz
590,Canadiana Suite,Jazz
591,Candy Everybody Wants,Rock/Pop
592,Candy Man Blues,Blues
593,Canned Heat Blues,Blues
594,Cannon Ball Blues,Blues
595,Cannon Ball Blues,Country/Bluegrass
596,Cannonball,Rock/Pop
597,Can't Buy Me Love,Rock/Pop
598,"Can't Get Enough Of Your Love, Babe",R & B/Soul
599,Can't Help Falling In Love,Musical/Film
600,Can't Help Lovin' Dat Man,Jazz
601,Can't Knock The Hustle,Hip-Hop
602,Can't Truss It,Hip-Hop
603,Can't We Be Friends?,Jazz
604,Cantaloupe Island,Jazz
605,Cappuccino,Hip-Hop
606,Car Wash,Dance/Electronica
607,Car Wheels On A Gravel Road,Folk/Roots
608,Caravan,Swing
609,Carefree Highway,Folk/Roots
610,"Careless Love (aka Loveless Love; aka Blues, Oh Blues)",Blues
611,Carey,Rock/Pop
612,Carioca,Jazz
613,Carnival,Rock/Pop
614,Carnivalito,Jazz
615,Carolina In The Morning,Musical/Film
616,Carrot Juice Is Murder,Folk/Roots
617,Carry On,Rock/Pop
618,Carte Blanche,Dance/Electronica
619,Casbah,Jazz
620,"Case Of You, A",Rock/Pop
621,Casey Jones,Folk/Roots
622,Castle Walk,Ragtime
623,Castles Made Of Sand,Rock/Pop
624,Catch A Falling Star,Musical/Film
625,Catch The Wind,Rock/Pop
626,Catfish Blues (aka Rollin' Stone or Rolling Stone),Blues
627,Cathedral In A Suitcase,Jazz
628,Catholic Girls,Rock/Pop
629,Cathy's Clown,Rock/Pop
630,Cat's In The Cradle,Folk/Roots
631,Cattle Call,Country/Bluegrass
632,Cecilia,Rock/Pop
633,Celebration Suite,Jazz
634,Cell Therapy,Hip-Hop
635,Celtic Ray,R & B/Soul
636,Chain Gang,R & B/Soul
637,Chain Of Fools,R & B/Soul
638,Chains,R & B/Soul
639,Chains Of Love,R & B/Soul
640,"Chair, The",Country/Bluegrass
641,Chameleon,Jazz
642,Champagne Supernova,Rock/Pop
643,Champion,Reggae
644,Chan Chan,Folk/Roots
645,"Change Is Gonna Come, A",R & B/Soul
646,Change Partners,Jazz
647,Changed The Locks,Folk/Roots
648,Changeling,Rock/Pop
649,Changes,Folk/Roots
650,Changes,Rock/Pop
651,Changes,Hip-Hop
652,Chant Down Babylon,Reggae
653,Chantilly Lace,Rock/Pop
654,Chapel Of Love,R & B/Soul
655,Charade,Musical/Film
656,Chariots Of Fire Theme,Musical/Film
657,Charleston,Jazz
658,Charlie Brown,R & B/Soul
659,Chattahoochee,Country/Bluegrass
660,Chattanooga Choo Choo,Swing
661,Chattanoogie Shoe Shine Boy,Jazz
662,Check The Rhime,Hip-Hop
663,Cheek To Cheek,Jazz
664,Cheese Cake,Jazz
665,Chelsea Bridge,Jazz
666,Chelsea Hotel #2,Rock/Pop
667,Chelsea Morning,Folk/Roots
668,Chest Fever,Rock/Pop
669,Chicago (That Toddlin' Town),Jazz
670,Children's Story,Hip-Hop
671,Chim Chim Cher-ee,Musical/Film
672,China Girl,Rock/Pop
673,China Pig,Blues
674,Chinese Rocks,Rock/Pop
675,Chiquitita,Dance/Electronica
676,Chiseled In Stone,Country/Bluegrass
677,Chocolate City,R & B/Soul
678,Choo Choo Ch'Boogie,Blues
679,Christmas At The Zoo,Rock/Pop
680,Christmas Card From A Hooker In Minneapolis,Jazz
681,Christopher Robin At Buckingham Palace,Musical/Film
682,Chug-A-Lug,Country/Bluegrass
683,Church In The Wildwood,Gospel
684,Cigarettes And Alcohol,Rock/Pop
685,Cinnamon Girl,Rock/Pop
686,"Circle Game, The",Folk/Roots
687,Circumstances,Blues
688,Cities In Dust,Rock/Pop
689,Citizen Tain,Jazz
690,City Beat,Jazz
691,City Of New Orleans,Folk/Roots
692,Clair De Lune,Classical/ Contemporary
693,Clang Of The Yankee Reaper,Rock/Pop
694,Clap Hands,Folk/Roots
695,Classical Gas,Rock/Pop
696,Clean Up Man,Hip-Hop
697,Cleaning Windows,R & B/Soul
698,Clear Tha Set,Hip-Hop
